x,y
1.526571615,0.069494633
1.532146469,0.07294795
1.537705018,0.076427504
1.543414798,0.080039846
1.548941189,0.083572727
1.554451438,0.087130781
1.560111635,0.090822895
1.565590038,0.094432137
1.571052481,0.098065531
1.576663626,0.101834206
1.582094575,0.105516735
1.587509766,0.10922244
1.593072446,0.113064597
1.59845653,0.116817467
1.603825072,0.120592577
1.609339923,0.124505266
1.614677776,0.128325653
1.620000318,0.132167382
1.625468022,0.136147774
1.63076032,0.14003297
1.636037547,0.143938649
1.641458824,0.147984033
1.646706277,0.151931445
1.65193891,0.155898517
1.65731451,0.160006296
1.662517857,0.164013438
1.667706643,0.168039451
1.673037345,0.172207135
1.678197351,0.176271626
1.683343061,0.180354233
1.688629666,0.184579438
1.693747115,0.188698997
1.698850541,0.192835947
1.704093868,0.197116389
1.709169562,0.201288829
1.714231508,0.205477968
1.719432391,0.209811459
1.724467144,0.214034686
1.729488427,0.218273949
1.734647712,0.222658391
1.739642347,0.2269304
1.744623793,0.231217809
1.749742332,0.235651194
1.75469768,0.239970063
1.759640121,0.244303723
1.764718771,0.248784126
1.769635667,0.253148015
1.774539938,0.257526111
1.779579562,0.262051691
1.784458843,0.266458835
1.789325781,0.27087963
1.794327239,0.275448621
1.799169742,0.279897333
1.804000184,0.284359161
1.808964337,0.288969871
1.813770897,0.293458533
1.818565676,0.297959799
1.823493382,0.30261061
1.82826483,0.307137672
1.833024776,0.311676848
1.837916887,0.316366207
1.84265405,0.320930184
1.847379987,0.325505807
1.85223735,0.330232226
1.856941048,0.334831697
1.861633792,0.339442363
1.866457246,0.344204419
1.87112829,0.348838019
1.875788651,0.353482382
1.880579025,0.358278709
1.885218218,0.362945131
1.889846995,0.367621904
1.894605109,0.372451192
1.899213243,0.377149184
1.903811225,0.381857131
1.908537888,0.386718124
1.913115746,0.391446485
1.91768371,0.396184421
1.922379719,0.401075917
1.926928071,0.405833496
1.931466785,0.410600287
1.936132926,0.415521132
1.940652531,0.420306825
1.945162749,0.425101381
1.949799795,0.430050471
1.954291399,0.43486322
1.958773864,0.439684498
1.963382575,0.444660771
1.967846913,0.449499562
1.972302353,0.454346562
1.976883476,0.459349002
1.981321269,0.464212862
1.985750402,0.469084624
1.990304671,0.474112256
1.994716626,0.479000252
1.999120154,0.483895854
2.003648287,0.488947744
2.008035098,0.49385898
2.012413711,0.49877754
2.016916413,0.503852788
2.02127876,0.508786405
2.025633131,0.513727075
2.030111093,0.51882482
2.034449641,0.523779992
2.038780432,0.528741958
2.043234329,0.533861372
2.047549728,0.538837309
2.051857586,0.543819789
2.056288078,0.548960079
2.060580967,0.553956019
2.064866522,0.558958263
2.069274256,0.564118666
2.073545257,0.56913388
2.077809128,0.574155168
2.082194736,0.579334952
2.086444457,0.58436874
2.090687249,0.58940838
2.095051348,0.594606842
2.099280385,0.599658531
2.103502687,0.60471586
2.107845881,0.609932326
2.112054814,0.615001269
2.116257204,0.620075649
2.120580081,0.625309471
2.124769478,0.630395049
2.128952517,0.635485868
2.133255653,0.640736423
2.137426068,0.645838039
2.141590306,0.650944709
2.145874261,0.656211398
2.150026234,0.66132848
2.154172206,0.666450434
2.158437528,0.671732683
2.162571584,0.676864679
2.166699813,0.682001374
2.170947033,0.687298629
2.175063687,0.692445009
2.179174681,0.697595922
2.183404319,0.702907651
2.18750407,0.708067907
2.191598323,0.713232534
2.195810886,0.718558226
2.19989422,0.723731867
2.203972217,0.728909725
2.208168196,0.734248887
2.212235588,0.739435443
2.216297797,0.744626067
2.220477674,0.749978227
2.224529586,0.755177244
2.228576466,0.760380187
2.232740706,0.765744891
2.236777588,0.770955934
2.240809585,0.776170766
2.244958645,0.781547576
2.248980935,0.786770226
2.252998483,0.791996533
2.257132806,0.797385029
2.261140931,0.802618884
2.265144452,0.807856268
2.269264469,0.813256044
2.273258843,0.818500716
2.277248749,0.823748795
2.28135488,0.829159462
2.285335907,0.834414577
2.289312596,0.839672981
2.29340525,0.845094163
2.297373321,0.850359361
2.301337184,0.855627735
2.305416755,0.861059071
2.309372253,0.866334005
2.313323666,0.871612006
2.317390541,0.877053148
2.321333835,0.882337485
2.325273166,0.887624783
2.329327718,0.893075394
2.33325917,0.898368812
2.337186775,0.90366509
2.34122937,0.909124847
2.345149329,0.914427037
2.349065555,0.91973199
